#   Words   KP hash   Coll    ELF hash   Coll
	10000   0.000019  14      0.000030	 9998  
	20000   0.000007  111     0.000012	 19998
	30000   0.000008  365     0.000014	 29996
	40000   0.000008  809     0.000034	 39996
	50000   0.000008  1500    0.000130	 49994
	60000   0.000008  2492    0.000037	 59994
	70000   0.000073  4029    0.000372	 69994
	80000   0.000008  5918    0.000129	 79994
	90000   0.000008  8250    0.000184	 89992
	100000  0.000006  11036   0.000125	 99992
	110000  0.000007  14362   0.000015	 109990
	120000  0.000008  18217   0.000139	 119989
	130000  0.000007  22849   0.000451	 129987
	140000  0.000007  27967   0.000176	 139985
	150000  0.000008  33769   0.000058	 149985
	160000  0.000008  40345   0.000143	 159983
	170000  0.000007  47555   0.000286	 169983
	180000  0.000027  55359   0.000030	 179978
	190000  0.000007  64000   0.000347	 189976
	200000  0.000008  73552   0.000135	 199971
